Name,Team,Pos,NameASCII,PlayerId,MLBAMID
John Ake,BAL,3B,John Ake,1000095,110099
John Ake,BAL,SS,John Ake,1000095,110099
Oyster Burns,BAL,2B,Oyster Burns,1001716,111759
Oyster Burns,BAL,3B,Oyster Burns,1001716,111759
Oyster Burns,BAL,P,Oyster Burns,1001716,111759
John Burns,BAL,1B,John Burns,1001717,111755
Jim Clinton,BAL,2B,Jim Clinton,1002357,112410
Buttercup Dickerson,BAL,3B,Buttercup Dickerson,1003272,113338
Bob Emslie,BAL,P,Bob Emslie,1003772,113843
Gid Gardner,BAL,1B,Gid Gardner,1004523,114606
Fred Goldsmith,BAL,1B,Fred Goldsmith,1004808,114898
Fred Goldsmith,BAL,P,Fred Goldsmith,1004808,114898
Hardie Henderson,BAL,P,Hardie Henderson,1005632,115746
Jimmy Macullar,BAL,SS,Jimmy Macullar,1007936,118105
Tim Manning,BAL,2B,Tim Manning,1008070,118247
Jim McLaughlin,BAL,P,Jim McLaughlin,1008612,118797
Jim Roxburgh,BAL,C,Jim Roxburgh,1011263,121513
Joe Sommer,BAL,2B,Joe Sommer,1012275,122531
Joe Sommer,BAL,3B,Joe Sommer,1012275,122531
Ecky Stearns,BAL,1B,Ecky Stearns,1012445,122701
Ecky Stearns,BAL,2B,Ecky Stearns,1012445,122701
Bill Traffley,BAL,1B,Bill Traffley,1013153,123434
Bill Traffley,BAL,C,Bill Traffley,1013153,123434
Sam Trott,BAL,2B,Sam Trott,1013194,123476
Sam Trott,BAL,C,Sam Trott,1013194,123476